steps;grower_id;mean_shelf_life
1;3;56.0
2;3;54.91895374328962
3;3;53.83790748657916
4;3;52.7568612298687
5;3;51.67581497315834
6;3;50.59476871644785
7;3;49.50350767965297
8;3;48.40405351605744
9;3;47.29434919644188
10;3;46.2008565530464
11;3;45.08915521991252
12;3;43.957063136500956
13;3;42.85773879058303
14;3;41.73536845722293
15;3;40.62552211777507
16;3;39.52564292638421
17;3;38.428194342694056
18;3;37.329275179928906
19;3;36.23950891402183
20;3;35.12561060600919
21;3;34.04839575001856
22;3;32.96264783288423
23;3;31.89948055571961
24;3;30.733004796271626
25;3;29.645082651663575
26;3;28.56989115769394
27;3;27.437312728056
28;3;26.3209467146648
29;3;25.196148395609242
30;3;24.11556921387755
31;3;23.06568014194851
32;3;21.936490979183567
33;3;20.828630378524473
34;3;19.777350619912383
35;3;18.71628025277044
36;3;17.61107233819272
37;3;16.544951277913032
38;3;15.503668998753321
39;3;14.420414961119896
40;3;13.270291868525204
41;3;12.211174798402467
42;3;11.09267442136014
43;3;9.988929124353469
44;3;8.838105426542008
45;3;7.7531659067102225
46;3;6.818699827885677
47;3;5.822679042219303
48;3;4.793861714134622
49;3;3.622011555564809
50;3;2.596586142827831
51;3;1.9476871644788571
1;4;56.0
2;4;54.91895374328962
3;4;53.837907486579155
4;4;52.756861229868704
5;4;51.67581497315833
6;4;50.59476871644786
7;4;49.51372245973745
8;4;48.432676203027086
9;4;47.3442226456691
10;4;46.18353418157795
11;4;44.89712452471001
12;4;43.49851098256638
13;4;42.07514009085866
14;4;40.651850424892345
15;4;39.13951528947416
16;4;37.566150009721824
17;4;36.10216371736445
18;4;34.755850844842584
19;4;33.54915292023894
20;4;32.42455778588853
21;4;31.2599659694868
22;4;30.19710531703987
