steps;grower_id;mean_shelf_life
1;3;56.0
2;3;54.91895374328962
3;3;53.83790748657915
4;3;52.75686122986871
5;3;51.67581497315834
6;3;50.594768716447845
7;3;49.509709432985
8;3;48.42341549368584
9;3;47.33934512114328
10;3;46.245972815013886
11;3;45.1487703235656
12;3;44.04341982114266
13;3;42.94686724330915
14;3;41.850262279255624
15;3;40.74500951507149
16;3;39.6371197840796
17;3;38.52765688011288
18;3;37.40881827921134
19;3;36.313452423017495
20;3;35.22722524792952
21;3;34.11757175647777
22;3;33.005259026387
23;3;31.875676977268682
24;3;30.751233265792173
25;3;29.708038469940906
26;3;28.61666091461681
27;3;27.460736958487423
28;3;26.32829354215213
29;3;25.26461603996904
30;3;24.134977651468553
31;3;23.001987025458245
32;3;21.884788230216333
33;3;20.797064558087857
34;3;19.696534570779253
35;3;18.614724421603423
36;3;17.59240194825648
37;3;16.56140657950187
1;4;56.0
2;4;54.91895374328962
3;4;53.83790748657915
4;4;52.75686122986871
5;4;51.67581497315834
6;4;50.59476871644785
7;4;49.513722459737444
8;4;48.43267620302707
9;4;47.34288839028159
10;4;46.22274646138366
11;4;45.070191874243996
12;4;43.83812671285227
13;4;42.573342587117715
14;4;41.21057821745937
15;4;39.74205548670473
16;4;38.34902261995151
17;4;36.99125089035641
18;4;35.54951394851314
19;4;34.15778313081747
20;4;32.91839185491058
21;4;31.69170859756644
22;4;30.490857537600796
23;4;29.261532942078276
24;4;28.086825570602127
25;4;27.03997885545512
