steps;grower_id;mean_shelf_life
1;3;56.0
2;3;54.918953743289606
3;3;53.83790748657916
4;3;52.7568612298687
5;3;51.67581497315834
6;3;50.59476871644785
7;3;49.50964130010296
8;3;48.4056635934666
9;3;47.28968526781967
10;3;46.16589383556894
11;3;45.051376848669726
12;3;43.94190186202153
13;3;42.81562635888426
14;3;41.70697121956605
15;3;40.604615024609274
16;3;39.49373065398227
17;3;38.40123149688444
18;3;37.320421036864275
19;3;36.21221157282429
20;3;35.09415915654603
21;3;33.969442315173154
22;3;32.891451203804834
23;3;31.805148622144547
24;3;30.744909619293395
25;3;29.655796375349745
26;3;28.5561109393904
27;3;27.503609305804062
28;3;26.341781394199526
29;3;25.218043619886934
30;3;24.1040013493625
31;3;22.97624373344474
32;3;21.86202316552008
33;3;20.71295401520487
34;3;19.641371779694108
35;3;18.621208812143557
36;3;17.527456018139997
37;3;16.438181685156597
38;3;15.328031174683188
39;3;14.213002136376739
40;3;13.075334532076178
41;3;12.011288479163719
42;3;11.005448334688326
43;3;9.918351810339164
44;3;8.852004267415555
45;3;7.733801864624229
1;4;56.0
2;4;54.91895374328961
3;4;53.837907486579134
4;4;52.75686122986872
5;4;51.675814973158346
6;4;50.594768716447845
7;4;49.513722459737465
8;4;48.43267620302711
9;4;47.34225955006272
10;4;46.23024765854187
11;4;45.07721848465258
12;4;43.884758931985616
13;4;42.687615799810956
14;4;41.42578867199959
15;4;40.128632464883886
16;4;38.81346323160977
17;4;37.56053061383877
18;4;36.266460644787486
19;4;34.95227166234121
20;4;33.582939295061685
21;4;32.24246018838673
22;4;30.89406539191635
23;4;29.53748304707793
24;4;28.153922293245017
25;4;26.94367831070436
