steps;grower_id;mean_shelf_life
1;3;56.0
2;3;54.91895374328962
3;3;53.83790748657915
4;3;52.75686122986871
5;3;51.67581497315834
6;3;50.594768716447845
7;3;49.50970272223792
8;3;48.41937351088171
9;3;47.33003272347342
10;3;46.23662405020606
11;3;45.13036875762113
12;3;44.04090866232885
13;3;42.93497108168113
14;3;41.8319884143914
15;3;40.72996132974769
16;3;39.64289771705122
17;3;38.55131391336458
18;3;37.44465578284255
19;3;36.34877246496787
20;3;35.26963498601049
21;3;34.150205659867936
22;3;33.070082490779164
23;3;31.94269580276304
24;3;30.84967939802453
25;3;29.75545163656104
26;3;28.661062855040775
27;3;27.54540106703807
28;3;26.3691924229833
29;3;25.213546517238917
30;3;24.112954093705742
31;3;22.995564053100715
32;3;21.91502465322517
33;3;20.75582998015339
34;3;19.645819651874866
35;3;18.61108185778894
36;3;17.554433910695263
37;3;16.53509506182977
38;3;15.452177234245374
39;3;14.375602336731612
40;3;13.351618433407877
1;4;56.0
2;4;54.91895374328961
3;4;53.83790748657914
4;4;52.75686122986871
5;4;51.67581497315834
6;4;50.59476871644785
7;4;49.513722459737444
8;4;48.43267620302707
9;4;47.351629946316656
10;4;46.22517947709986
11;4;45.05401296116638
12;4;43.88622394494141
13;4;42.67443394820593
14;4;41.425735962271844
15;4;40.142010187496616
16;4;38.83570616248639
17;4;37.54979909330441
18;4;36.250749007308826
19;4;34.818098170151096
20;4;33.476852192183074
21;4;32.14113321687339
22;4;30.76138591977948
23;4;29.448238248641662
24;4;28.177768591781966
25;4;27.045241445028278
