steps;grower_id;mean_shelf_life
1;3;56.0
2;3;54.918953743289606
3;3;53.837907486579134
4;3;52.75686122986872
5;3;51.67581497315835
6;3;50.59476871644785
7;3;49.510609571622325
8;3;48.42411676274277
9;3;47.34305562004919
10;3;46.258865267922864
11;3;45.1608040686734
12;3;44.07002592813382
13;3;42.96636949618234
14;3;41.84955184926018
15;3;40.75335733718569
16;3;39.64873425267034
17;3;38.55953038992956
18;3;37.45152115149567
19;3;36.37511048680389
20;3;35.29759587400632
21;3;34.23327633531688
22;3;33.13305204506563
23;3;32.05804357013733
24;3;30.982094827123827
25;3;29.890498379033197
26;3;28.789853593909616
27;3;27.709476871838312
28;3;26.618174874527337
29;3;25.502932754593456
30;3;24.332033523164124
31;3;23.156060373671004
32;3;22.042057321305272
33;3;20.88165463564092
34;3;19.72424232321263
35;3;18.563813047302983
36;3;17.45038396284735
1;4;56.0
2;4;54.91895374328961
3;4;53.837907486579134
4;4;52.756861229868726
5;4;51.675814973158346
6;4;50.59476871644786
7;4;49.513722459737465
8;4;48.4326762030271
9;4;47.35162994631663
10;4;46.124875463499436
11;4;44.778814627156436
12;4;43.24307691719911
13;4;41.71195303840813
14;4;40.113850704355386
15;4;38.49407363866788
16;4;36.818929587351626
17;4;35.21657326407232
18;4;33.7499925942213
19;4;32.706228570774414
20;4;31.65041493888134
21;4;30.724908749830487
22;4;29.581880519351113
