steps;grower_id;mean_shelf_life
1;3;56.0
2;3;54.91895374328962
3;3;53.837907486579155
4;3;52.756861229868704
5;3;51.67581497315834
6;3;50.59476871644786
7;3;49.51372245973745
8;3;48.41104608268797
9;3;47.31039304418872
10;3;46.19243547964201
11;3;45.07379972452722
12;3;43.92952527778001
13;3;42.79466153610683
14;3;41.66117419020104
15;3;40.48212750208395
16;3;39.36796351164507
17;3;38.240918767228194
18;3;37.095085175172535
19;3;35.995610628487526
20;3;34.87687025269215
21;3;33.81138183376468
22;3;32.705642531322724
23;3;31.6059591947571
24;3;30.466106440109908
25;3;29.346254659635754
26;3;28.248341503976423
27;3;27.13342776659308
28;3;26.0206763142135
29;3;24.910034249110886
30;3;23.85675650465471
31;3;22.74500202402288
32;3;21.646453258638346
33;3;20.59840608168781
34;3;19.529902234731342
35;3;18.426965593300075
36;3;17.357692659653413
37;3;16.275448068431736
38;3;15.219110227138437
39;3;14.104886193286925
40;3;13.028867977583976
41;3;12.012557505616611
42;3;10.852221070157494
43;3;9.72255379297968
44;3;8.697074440979119
1;4;56.0
2;4;54.91895374328961
3;4;53.83790748657916
4;4;52.7568612298687
5;4;51.67581497315834
6;4;50.59476871644786
7;4;49.51372245973745
8;4;48.432676203027086
9;4;47.34512220558318
10;4;46.19812101109768
11;4;44.955212650801876
12;4;43.67457831782332
13;4;42.32775753190143
14;4;40.942675190218516
15;4;39.468252370670584
16;4;38.01611626201383
17;4;36.613727678080984
18;4;35.277956179258005
19;4;33.97275672625337
20;4;32.71502414861
21;4;31.457596374873233
22;4;30.349292160695573
23;4;29.20406675705326
24;4;28.122819462304165
