steps;grower_id;mean_shelf_life
1;3;56.0
2;3;54.91895374328961
3;3;53.837907486579155
4;3;52.756861229868704
5;3;51.675814973158346
6;3;50.59476871644785
7;3;49.51372245973745
8;3;48.43267620302708
9;3;47.348543801226555
10;3;46.25361213158972
11;3;45.169439826602705
12;3;44.07674163266861
13;3;42.96484082239088
14;3;41.85409874526661
15;3;40.73744277679334
16;3;39.63225355456077
17;3;38.55457260346427
18;3;37.45448680167784
19;3;36.34998752444119
20;3;35.283403955975366
21;3;34.17581009223906
22;3;33.07648019713895
23;3;31.996291607568846
24;3;30.937741130212125
25;3;29.853707301605613
26;3;28.74460766193481
27;3;27.65556550129999
28;3;26.559048275645743
29;3;25.39715024352367
30;3;24.293532766806006
31;3;23.1727394574724
32;3;22.057233249956585
33;3;20.925508067046678
34;3;19.78157576688933
35;3;18.622656619350195
36;3;17.558471528510918
1;4;56.0
2;4;54.91895374328961
3;4;53.83790748657914
4;4;52.75686122986872
5;4;51.67581497315834
6;4;50.59476871644785
7;4;49.513722459737444
8;4;48.432676203027064
9;4;47.31132729307637
10;4;46.06402807323491
11;4;44.65973387988657
12;4;43.1882304673156
13;4;41.68632049254282
14;4;40.10058757316953
15;4;38.51560181144715
16;4;36.89657922718829
17;4;35.440419453365095
18;4;34.04956085182228
