steps;grower_id;mean_shelf_life
1;1;56.0
2;1;54.91895374328961
3;1;53.83790748657918
4;1;52.7568612298687
5;1;51.67581497315833
6;1;50.59476871644787
7;1;49.51372245973746
8;1;48.432676203027086
9;1;47.35162994631663
10;1;46.270583689606184
11;1;45.18953743289579
12;1;44.10849117618539
13;1;43.027444919474945
14;1;41.94639866276449
15;1;40.86535240605407
16;1;39.78430614934368
17;1;38.703259892633255
18;1;37.62221363592278
19;1;36.54116737921241
20;1;35.46012112250195
21;1;34.37907486579153
22;1;33.29802860908115
23;1;32.21698235237071
24;1;31.135936095660277
25;1;30.054889838949858
26;1;28.973843582239443
27;1;27.892797325529013
28;1;26.811751068818612
29;1;25.730704812108186
30;1;24.649658555397753
1;2;56.0
2;2;54.91895374328961
3;2;53.83790748657917
4;2;52.7568612298687
5;2;51.67581497315834
6;2;50.59476871644787
7;2;49.51372245973746
8;2;48.432676203027086
9;2;47.351629946316635
10;2;46.27058368960618
11;2;45.1895374328958
12;2;44.108491176185375
13;2;43.027444919474895
14;2;41.94639866276448
15;2;40.86535240605407
16;2;39.78430614934368
17;2;38.70325989263326
18;2;37.622213635922776
19;2;36.541167379212396
20;2;35.46012112250196
21;2;34.37907486579159
22;2;33.29802860908115
23;2;32.216982352370685
24;2;31.13593609566029
25;2;30.05488983894986
26;2;28.973843582239443
