steps;shelf_life
1;40.0
2;38.79658202606625
3;37.384957440301726
4;35.89171954021946
5;34.37887196921266
6;32.845878589349105
7;31.287455715586
8;29.72763716963344
9;28.16749025506976
10;26.609290998753917
11;25.051368201861624
12;23.490839038884094
13;21.929976512333305
14;20.372280238444766
15;18.814283322954445
16;17.255984567290664
17;15.697382766502875
18;14.138476709218752
19;12.83841473850859
20;11.619161465131658
21;16.442717005803452
22;16.823595206199037
23;15.719956882685006
24;14.61576760411102
25;13.457246756721199
26;12.180154947660363
27;10.877862774523585
28;9.561804727682016
29;8.234725017886547
30;6.896308402457534
31;5.6024669316096265
32;4.427953322717612
