step;id;q_stock;q_consumed;q_wasted
39;5;134;0;0
39;6;71;0;23
39;7;28;0;8
40;1;80;0;31
40;2;99;0;91
40;3;15;0;106
40;4;0;16;10
40;5;127;0;0
40;6;63;0;23
40;7;35;0;8
41;1;69;0;55
41;2;89;0;91
41;3;15;0;114
41;4;0;16;10
41;5;122;0;0
41;6;65;0;23
41;7;35;0;14
42;1;69;0;76
42;2;89;0;91
42;3;15;0;122
42;4;0;16;11
42;5;115;0;0
42;6;66;0;23
42;7;35;0;14
43;1;79;0;85
43;2;89;0;91
43;3;15;0;130
43;4;7;16;11
43;5;110;0;0
43;6;67;0;23
43;7;35;0;14
44;1;93;0;85
44;2;89;0;91
44;3;15;0;138
44;4;7;16;18
44;5;105;0;0
44;6;68;0;23
44;7;35;0;14
45;1;99;0;85
45;2;89;0;91
45;3;15;0;146
45;4;7;23;18
45;5;98;0;0
45;6;69;0;23
45;7;35;0;14
46;1;92;0;85
46;2;89;0;91
46;3;15;0;154
46;4;7;30;18
46;5;98;0;0
46;6;78;0;23
46;7;35;0;14
47;1;99;0;85
47;2;89;0;91
47;3;7;0;162
47;4;7;37;18
47;5;91;0;0
47;6;82;0;23
47;7;35;0;14
48;1;99;0;85
48;2;89;0;91
48;3;7;0;167
48;4;7;44;18
48;5;84;0;0
48;6;86;0;28
48;7;35;0;14
49;1;99;0;85
49;2;89;0;91
49;3;7;0;167
49;4;7;51;18
49;5;77;0;0
49;6;90;0;33
49;7;35;0;14
50;1;99;0;85
50;2;89;0;91
50;3;7;0;167
50;4;7;58;18
50;5;70;0;0
50;6;98;0;34
50;7;35;0;14
51;1;93;0;85
51;2;89;0;91
51;3;7;0;167
51;4;7;65;18
51;5;69;0;0
51;6;100;0;41
51;7;35;0;14
52;1;92;0;85
52;2;89;0;91
52;3;7;0;167
52;4;7;72;18
52;5;69;0;0
52;6;109;0;41
52;7;35;0;14
53;1;93;0;85
53;2;89;0;91
53;3;7;0;167
53;4;7;79;18
53;5;68;0;0
53;6;118;0;41
53;7;35;0;14
54;1;92;0;85
54;2;89;0;91
54;3;7;0;167
54;4;7;86;18
54;5;68;0;0
54;6;127;0;41
54;7;35;0;14
55;1;93;0;85
55;2;89;0;91
55;3;7;0;167
55;4;7;93;18
55;5;67;0;0
55;6;133;0;44
55;7;35;0;14
56;1;92;0;85
56;2;89;0;91
56;3;7;0;167
56;4;7;100;18
56;5;67;0;0
56;6;135;0;51
56;7;35;0;14
57;1;93;0;85
57;2;89;0;91
57;3;7;0;167
57;4;7;107;18
57;5;66;0;0
57;6;135;0;51
57;7;35;0;14
58;1;92;0;85
58;2;89;0;91
58;3;16;0;167
58;4;7;114;18
58;5;65;0;0
58;6;135;0;51
58;7;35;0;14
59;1;93;0;85
59;2;89;0;91
59;3;17;0;176
59;4;7;121;18
59;5;71;0;0
59;6;135;0;51
59;7;35;0;14
60;1;92;0;85
60;2;74;0;106
60;3;9;0;185
60;4;7;128;18
60;5;76;0;0
60;6;135;0;51
60;7;36;0;14
61;1;93;0;85
61;2;79;0;120
61;3;9;0;194
61;4;7;135;18
61;5;82;0;0
61;6;126;0;51
61;7;31;0;14
62;1;92;0;85
62;2;62;0;144
62;3;9;0;203
62;4;7;142;18
62;5;87;0;0
62;6;126;0;51
62;7;24;0;14
63;1;93;0;85
63;2;54;0;166
63;3;9;0;212
63;4;7;149;18
63;5;91;0;0
63;6;126;0;51
63;7;19;0;14
64;1;92;0;85
64;2;64;0;180
64;3;9;0;221
64;4;7;156;18
64;5;98;0;0
64;6;117;0;51
64;7;14;0;14
65;1;93;0;85
65;2;81;0;180
65;3;9;0;230
65;4;7;163;18
65;5;97;0;0
65;6;114;0;51
65;7;6;0;14
66;1;92;0;85
66;2;96;0;180
66;3;15;0;239
66;4;8;170;18
66;5;104;0;0
66;6;105;0;51
66;7;5;0;14
67;1;93;0;85
67;2;90;0;180
67;3;9;0;248
67;4;2;178;18
67;5;110;0;0
67;6;105;0;51
67;7;11;0;14
68;1;92;0;85
68;2;98;0;180
68;3;9;0;257
68;4;0;180;18
68;5;117;0;0
68;6;96;0;51
68;7;9;0;14
69;1;93;0;85
69;2;99;0;180
69;3;9;0;266
69;4;2;180;18
69;5;123;0;0
69;6;87;0;51
69;7;7;0;14
70;1;92;0;85
70;2;99;0;180
70;3;9;0;275
70;4;2;182;18
70;5;124;0;0
70;6;78;0;51
70;7;7;0;14
71;1;93;0;85
71;2;96;0;180
71;3;15;0;284
71;4;0;182;20
71;5;123;0;0
71;6;72;0;51
71;7;6;0;14
72;1;92;0;85
72;2;90;0;180
72;3;16;0;293
72;4;1;182;20
72;5;124;0;0
72;6;72;0;51
72;7;6;0;20
73;1;93;0;85
73;2;95;0;180
73;3;15;0;302
73;4;0;182;21
73;5;123;0;0
73;6;66;0;51
73;7;13;0;20
74;1;86;0;91
74;2;91;0;180
74;3;16;0;311
74;4;0;182;21
74;5;124;0;0
74;6;65;0;51
74;7;19;0;20
75;1;84;0;99
75;2;95;0;180
75;3;15;0;320
75;4;0;182;21
75;5;123;0;0
75;6;60;0;51
75;7;26;0;20
76;1;83;0;113
76;2;91;0;180
76;3;16;0;329
76;4;0;182;21
76;5;117;0;0
76;6;68;0;51
76;7;32;0;20
77;1;72;0;134
77;2;95;0;180
77;3;6;0;338
77;4;0;182;21
77;5;114;0;0
77;6;63;0;51
77;7;33;0;26
78;1;71;0;155
78;2;91;0;180
78;3;7;0;347
78;4;0;182;21
78;5;108;0;0
78;6;62;0;60
78;7;32;0;26
79;1;74;0;171
79;2;95;0;180
79;3;6;0;347
79;4;0;182;28
79;5;102;0;0
79;6;65;0;61
79;7;33;0;26
