steps;grower_id;mean_shelf_life
1;3;56.0
2;3;54.91895374328962
3;3;53.83790748657916
4;3;52.7568612298687
5;3;51.67581497315834
6;3;50.59476871644785
7;3;49.51372245973745
8;3;48.428574150083875
9;3;47.3434118163176
10;3;46.24338606217197
11;3;45.148460669282265
12;3;44.02494168390016
13;3;42.91745945932123
14;3;41.808884691270656
15;3;40.70457827823971
16;3;39.58761482044159
17;3;38.49163139074536
18;3;37.389360371507294
19;3;36.29936270719414
20;3;35.202209003041276
21;3;34.09956942972565
22;3;32.997200385058655
23;3;31.907969085445576
24;3;30.81388241536688
25;3;29.71795013349364
26;3;28.592247235056394
27;3;27.51171760170161
28;3;26.3587045940877
29;3;25.22278120047495
30;3;24.150290688753145
31;3;23.02896772408851
32;3;21.882664618219685
33;3;20.810210531382857
34;3;19.74287977591364
35;3;18.66653751774314
36;3;17.56870264505484
37;3;16.46578377188842
38;3;15.414097774002405
39;3;14.33887765627591
40;3;13.230640067541048
41;3;12.138483124407726
42;3;11.051641096037795
43;3;10.024940556628447
44;3;9.01536883910096
45;3;7.968473717721126
46;3;6.988723906362577
47;3;5.993062650499087
48;3;4.908083095815744
49;3;3.7021039568473344
50;3;2.8438254962107368
51;3;1.9476871644788565
1;4;56.0
2;4;54.91895374328961
3;4;53.83790748657914
4;4;52.75686122986872
5;4;51.675814973158346
6;4;50.59476871644785
7;4;49.51372245973744
8;4;48.43267620302711
9;4;47.34304493551405
10;4;46.24886339143453
11;4;45.10936800295383
12;4;43.93087034843787
13;4;42.67189895400675
14;4;41.36770717154889
15;4;40.083799114547595
16;4;38.74803277531493
17;4;37.42648073668227
18;4;36.10126398972622
19;4;34.90713690445124
20;4;33.72005566058614
21;4;32.52696695605133
22;4;31.38974755173899
23;4;30.24397592290976
24;4;29.012427273092094
25;4;27.970752919838873
26;4;26.651453765494477
27;4;25.353379453406212
28;4;24.1906894343773
29;4;23.08811989127183
30;4;22.060832870669067
