steps;grower_id;mean_shelf_life
1;3;56.0
2;3;54.918953743289606
3;3;53.837907486579134
4;3;52.75686122986872
5;3;51.67581497315835
6;3;50.59476871644785
7;3;49.513722459737465
8;3;48.42723505517755
9;3;47.338875093049666
10;3;46.25048964762767
11;3;45.16207858549124
12;3;44.070025928133816
13;3;42.95853750689994
14;3;41.86578484684838
15;3;40.76774568572604
16;3;39.65853759214965
17;3;38.55711133778565
18;3;37.46168336434478
19;3;36.34228979071622
20;3;35.25479495449776
21;3;34.15282554194105
22;3;33.069332230588955
23;3;31.968418719841733
24;3;30.862575082412707
25;3;29.78730016382865
26;3;28.70712425672261
27;3;27.613544114293948
28;3;26.52615223918594
29;3;25.4058704053706
30;3;24.295540886996466
31;3;23.211332154649856
32;3;22.10261754974393
33;3;21.00842908920924
34;3;19.89168325633795
35;3;18.770384533075678
1;4;56.0
2;4;54.91895374328961
3;4;53.837907486579134
4;4;52.75686122986872
5;4;51.675814973158346
6;4;50.59476871644785
7;4;49.513722459737465
8;4;48.43267620302711
9;4;47.342810201050476
10;4;46.211304244700024
11;4;45.05951218543092
12;4;43.86488358231515
13;4;42.65723576270903
14;4;41.40298011893012
15;4;40.06390718685355
16;4;38.722729977814275
17;4;37.37131442636139
18;4;35.9569394807864
19;4;34.61835512034542
20;4;33.24388182786304
21;4;31.848571917061285
22;4;30.611721505521544
23;4;29.254421535023774
24;4;28.096137309295607
25;4;27.055830824151478
26;4;26.16340751762938
27;4;25.150029239640002
28;4;24.268998902200703
29;4;23.44327657692214
30;4;22.110435581985833
31;4;20.458028777075725
32;4;19.089086492636312
33;4;18.011700518547453
34;4;16.934892483819883
35;4;15.60983015634558
36;4;14.816128383023804
