steps;grower_id;mean_shelf_life
1;3;56.0
2;3;54.91895374328961
3;3;53.837907486579155
4;3;52.756861229868704
5;3;51.67581497315834
6;3;50.59476871644786
7;3;49.50804474024227
8;3;48.4237284033832
9;3;47.34266587794613
10;3;46.246079594720136
11;3;45.15076925690225
12;3;44.05490927635068
13;3;42.954592463431986
14;3;41.85995557720866
15;3;40.74490878357512
16;3;39.61838870370017
17;3;38.51295908486593
18;3;37.38667041812257
19;3;36.298725206199954
20;3;35.23570100282896
21;3;34.1186036473951
22;3;33.035515884588904
23;3;31.964510927580516
24;3;30.868679871710267
25;3;29.810085094637472
26;3;28.707560161245592
27;3;27.62111772729641
28;3;26.502471779100127
29;3;25.36618146087511
30;3;24.262464235413614
31;3;23.121675651458883
32;3;21.96969431473242
33;3;20.866853252551724
34;3;19.743757812741077
35;3;18.62340310524853
36;3;17.529427395227724
1;4;56.0
2;4;54.91895374328961
3;4;53.837907486579134
4;4;52.756861229868726
5;4;51.675814973158346
6;4;50.59476871644786
7;4;49.513722459737465
8;4;48.4326762030271
9;4;47.276256088843844
10;4;45.88880518372678
11;4;44.47823481784983
12;4;42.96766566198693
13;4;41.42906920096999
14;4;39.82581304263868
15;4;38.12889395547208
16;4;36.54644420919562
17;4;35.19234844821943
