steps;grower_id;mean_shelf_life
1;3;56.0
2;3;54.918953743289606
3;3;53.83790748657914
4;3;52.75686122986872
5;3;51.675814973158346
6;3;50.59476871644786
7;3;49.51372245973744
8;3;48.428265555275324
9;3;47.32958554959017
10;3;46.22725747981823
11;3;45.103294652517725
12;3;43.986592566465866
13;3;42.87258066258183
14;3;41.75155422115877
15;3;40.61313069367789
16;3;39.48908234383413
17;3;38.38798038338973
18;3;37.31127056775066
19;3;36.20881257452788
20;3;35.10963055680777
21;3;34.038218666041935
22;3;33.00206662317678
23;3;31.909981502309087
24;3;30.79195577871124
25;3;29.667890923684514
26;3;28.596639899794386
27;3;27.511138430216644
28;3;26.41026004831929
29;3;25.29409821382877
30;3;24.12764449266037
31;3;23.04882768812349
32;3;21.995188283467876
33;3;20.869034164617126
34;3;19.67230829436298
35;3;18.561548520652916
1;4;56.0
2;4;54.91895374328961
3;4;53.837907486579134
4;4;52.756861229868726
5;4;51.675814973158346
6;4;50.59476871644786
7;4;49.513722459737465
8;4;48.4326762030271
9;4;47.336088718095475
10;4;46.13503800522368
11;4;44.79753571347228
12;4;43.266604827334255
13;4;41.783598092373424
14;4;40.223477191730794
15;4;38.698535101104405
16;4;37.029518011367614
17;4;35.50398940580797
18;4;34.108308131189645
19;4;33.03968015965114
