steps;grower_id;mean_shelf_life
1;3;56.0
2;3;54.91895374328961
3;3;53.83790748657914
4;3;52.75686122986871
5;3;51.67581497315834
6;3;50.59476871644785
7;3;49.50946039763688
8;3;48.428406570656335
9;3;47.33749879469604
10;3;46.25642734876698
11;3;45.15796680635293
12;3;44.06053101887782
13;3;42.96647513988872
14;3;41.87777913587713
15;3;40.774771968726384
16;3;39.68367233620014
17;3;38.5686664598163
18;3;37.47957125789703
19;3;36.39339630938451
20;3;35.31574133375096
21;3;34.21219496253082
22;3;33.102696722484794
23;3;32.00903785077555
24;3;30.93070973404293
25;3;29.841804070069077
26;3;28.76484720240029
27;3;27.67610976150516
28;3;26.56479167994945
29;3;25.414063145142517
30;3;24.23520496155919
31;3;23.053801312645064
32;3;21.929836114379892
33;3;20.733043245902056
34;3;19.608298193568828
35;3;18.459438213749294
36;3;17.330098697386884
1;4;56.0
2;4;54.91895374328961
3;4;53.837907486579134
4;4;52.756861229868726
5;4;51.675814973158346
6;4;50.59476871644786
7;4;49.513722459737465
8;4;48.4326762030271
9;4;47.328561944856844
10;4;46.112579223642065
11;4;44.79145772018088
12;4;43.357300070306856
13;4;41.89395827614387
14;4;40.40078192386567
15;4;38.83493045172771
16;4;37.23622369246553
17;4;35.79681513451674
18;4;34.405317352854176
19;4;33.23755876334812
20;4;32.1189488258979
21;4;31.01158560455249
