steps;grower_id;mean_shelf_life
1;3;56.0
2;3;54.91895374328961
3;3;53.837907486579134
4;3;52.75686122986872
5;3;51.675814973158346
6;3;50.594768716447845
7;3;49.50845506282763
8;3;48.42739993844568
9;3;47.34331588627653
10;3;46.24580652532069
11;3;45.141702704963166
12;3;44.03674416112964
13;3;42.92943283411581
14;3;41.79915334684175
15;3;40.64730361355253
16;3;39.52334627586996
17;3;38.4172595865893
18;3;37.313911722903406
19;3;36.18652876003776
20;3;35.06881110666787
21;3;33.967067014536106
22;3;32.86198277527331
23;3;31.772210442559185
24;3;30.67977373723699
25;3;29.560822503668692
26;3;28.46808685315518
27;3;27.312213349832685
28;3;26.212025787409633
29;3;25.077993094692765
30;3;23.99802949363298
31;3;22.91102196125465
32;3;21.782900766495427
33;3;20.68204102018678
34;3;19.585022093403687
35;3;18.49170621656598
36;3;17.423144955492102
37;3;16.328537376440845
38;3;15.259391510869388
39;3;14.1873792082454
40;3;13.099223148174508
41;3;12.008318924305629
42;3;10.923822199998359
43;3;9.823184586295246
44;3;8.771613431641887
45;3;7.667301894445072
46;3;6.600250155257104
47;3;5.655822668525565
48;3;4.7010301111813595
49;3;3.696710871188098
50;3;2.507170388501002
51;3;1.8963689804092414
1;4;56.0
2;4;54.91895374328961
3;4;53.837907486579134
4;4;52.756861229868726
5;4;51.675814973158346
6;4;50.59476871644786
7;4;49.513722459737465
8;4;48.4326762030271
9;4;47.32212417983018
10;4;46.104216366926295
11;4;44.83606326492485
12;4;43.41618110874349
13;4;41.97951925845103
14;4;40.524783087951135
15;4;38.92380799879497
16;4;37.40179329605078
17;4;35.99761568660603
18;4;34.705544626770326
19;4;33.56457772660457
20;4;32.37049455797491
