steps;grower_id;mean_shelf_life
1;3;56.0
2;3;54.918953743289606
3;3;53.83790748657915
4;3;52.75686122986871
5;3;51.675814973158346
6;3;50.59476871644786
7;3;49.513722459737444
8;3;48.42694658481621
9;3;47.321201901338284
10;3;46.21955221715726
11;3;45.11033173377092
12;3;44.007898394565515
13;3;42.89382118730161
14;3;41.78653826070783
15;3;40.645687218982225
16;3;39.51989714414839
17;3;38.40284832934507
18;3;37.34209724241456
19;3;36.228288068462945
20;3;35.1826487643056
21;3;34.078234946393756
22;3;32.99419110006922
23;3;31.91176852156496
24;3;30.860886140179968
25;3;29.730083157890757
26;3;28.583587821072474
27;3;27.44283968094053
28;3;26.350208513711795
29;3;25.218024166456487
30;3;24.08432833257502
31;3;23.00689448986001
32;3;21.90819570902691
33;3;20.878421144027893
34;3;19.86068655387051
35;3;18.78722523684001
1;4;56.0
2;4;54.918953743289606
3;4;53.83790748657913
4;4;52.756861229868726
5;4;51.67581497315833
6;4;50.59476871644786
7;4;49.51372245973746
8;4;48.4326762030271
9;4;47.34731432149666
10;4;46.24119234761858
11;4;45.12067062843406
12;4;43.932717825044215
13;4;42.7169182153756
14;4;41.414133971249534
15;4;40.1533982517018
16;4;38.879581013880795
17;4;37.570059699144906
18;4;36.289872352984226
19;4;35.03275215669653
20;4;33.804572848610185
21;4;32.62373849734282
22;4;31.4135072181796
23;4;30.1990831607723
24;4;29.088803883304905
25;4;27.92813838215198
26;4;26.79719113870737
27;4;25.494354907649203
28;4;24.313277467198702
29;4;23.18381753947682
30;4;21.995059184338672
31;4;20.628990955709334
32;4;19.678713763622156
