steps;grower_id;mean_shelf_life
1;3;56.0
2;3;54.91895374328962
3;3;53.837907486579155
4;3;52.756861229868704
5;3;51.67581497315834
6;3;50.594768716447845
7;3;49.51372245973745
8;3;48.42866986465255
9;3;47.34461836122957
10;3;46.258319407618714
11;3;45.161503355655384
12;3;44.04773273420725
13;3;42.959525640674684
14;3;41.83650629320243
15;3;40.73987813187059
16;3;39.63662731786248
17;3;38.518336531212036
18;3;37.42344167403129
19;3;36.31726302641344
20;3;35.22613075405194
21;3;34.12323759791739
22;3;33.03021388965926
23;3;31.939986805045766
24;3;30.863456712914047
25;3;29.752274319901407
26;3;28.650173654453564
27;3;27.526628896454998
28;3;26.454490750258703
29;3;25.337055875545108
30;3;24.2685169730457
31;3;23.147888867094018
32;3;22.02611707542193
33;3;20.91742546479693
34;3;19.82746157190617
35;3;18.721938471952257
36;3;17.628768342038228
37;3;16.544512369487716
38;3;15.458825303628643
39;3;14.413690362176574
40;3;13.330657572032802
1;4;56.0
2;4;54.918953743289606
3;4;53.837907486579155
4;4;52.756861229868704
5;4;51.67581497315834
6;4;50.59476871644785
7;4;49.51372245973745
8;4;48.399486394508195
9;4;47.20371480768203
10;4;45.855574216883795
11;4;44.42022519293293
12;4;42.93595798711942
13;4;41.35061936521681
14;4;39.79959608513207
15;4;38.27665503263227
16;4;36.80440186184266
17;4;35.484372040453856
18;4;34.35179576086961
19;4;33.37277157455547
20;4;32.417568228872554
