steps;grower_id;mean_shelf_life
1;3;56.0
2;3;54.918953743289606
3;3;53.837907486579134
4;3;52.75686122986872
5;3;51.67581497315835
6;3;50.59476871644785
7;3;49.51372245973744
8;3;48.43267620302711
9;3;47.34618879846707
10;3;46.259682468175406
11;3;45.16504193694682
12;3;44.056019168069135
13;3;42.9651995264038
14;3;41.874345652216775
15;3;40.779502438729914
16;3;39.67784759041683
17;3;38.567119494918494
18;3;37.47813315900778
19;3;36.41748537246176
20;3;35.32703181056898
21;3;34.22538777834454
22;3;33.131459846824484
23;3;32.053580759858
24;3;30.959383529161318
25;3;29.84702093830246
26;3;28.745609945454145
27;3;27.64761793276568
28;3;26.53992204944075
29;3;25.404942104102343
30;3;24.25404625074165
31;3;23.14333663161312
32;3;21.975775540300834
33;3;20.826582840853327
34;3;19.643093264504515
35;3;18.549503009199128
36;3;17.477425601924576
1;4;56.0
2;4;54.918953743289606
3;4;53.83790748657913
4;4;52.756861229868726
5;4;51.67581497315833
6;4;50.59476871644786
7;4;49.51372245973746
8;4;48.4326762030271
9;4;47.311324844229844
10;4;46.16380724196154
11;4;44.982378314143645
12;4;43.795313886414796
13;4;42.55958751025441
14;4;41.32357968096004
15;4;40.01913600328026
16;4;38.70245578553113
17;4;37.452813608251546
18;4;36.214877083588384
19;4;34.97308681189216
20;4;33.678733158760124
21;4;32.33463137471809
22;4;31.115383424744735
23;4;29.86850851726175
24;4;28.576673625959657
25;4;27.46998616110864
26;4;26.25057121907093
