step;id;q_stock;q_consumed;q_wasted
39;5;0;0;0
39;6;84;0;0
39;7;0;0;0
40;1;0;631;0
40;2;84;0;0
40;3;96;0;0
40;4;95;0;0
40;5;0;0;0
40;6;84;0;0
40;7;0;0;0
41;1;0;631;0
41;2;84;0;0
41;3;108;0;0
41;4;106;0;0
41;5;0;0;0
41;6;0;0;0
41;7;0;0;0
42;1;0;631;0
42;2;168;0;0
42;3;120;0;0
42;4;119;0;0
42;5;0;0;0
42;6;0;0;0
42;7;0;0;0
43;1;0;631;0
43;2;12;0;0
43;3;132;0;0
43;4;132;0;0
43;5;0;0;0
43;6;0;0;0
43;7;0;0;0
44;1;0;787;0
44;2;12;0;0
44;3;72;0;0
44;4;144;0;0
44;5;72;0;0
44;6;0;0;0
44;7;0;0;0
45;1;0;787;0
45;2;12;0;0
45;3;84;0;0
45;4;155;0;0
45;5;72;0;0
45;6;0;0;0
45;7;0;0;0
46;1;0;787;0
46;2;12;0;0
46;3;96;0;0
46;4;86;0;0
46;5;0;0;0
46;6;81;0;0
46;7;0;0;0
47;1;0;787;0
47;2;84;0;0
47;3;108;0;0
47;4;98;0;0
47;5;0;0;0
47;6;81;0;0
47;7;0;0;0
48;1;0;787;0
48;2;84;0;0
48;3;120;0;0
48;4;110;0;0
48;5;0;0;0
48;6;0;0;0
48;7;0;0;0
49;1;0;787;0
49;2;165;0;0
49;3;132;0;0
49;4;122;0;0
49;5;0;0;0
49;6;0;0;0
49;7;0;0;0
50;1;0;787;0
50;2;12;0;0
50;3;144;0;0
50;4;134;0;0
50;5;0;0;0
50;6;0;0;0
50;7;0;0;0
51;1;0;940;0
51;2;12;0;0
51;3;84;0;0
51;4;144;0;0
51;5;72;0;0
51;6;0;0;0
51;7;0;0;0
52;1;0;940;0
52;2;12;0;0
52;3;96;0;0
52;4;155;0;0
52;5;72;0;0
52;6;0;0;0
52;7;0;0;0
53;1;0;940;0
53;2;12;0;0
53;3;108;0;0
53;4;81;0;0
53;5;0;0;0
53;6;83;0;0
53;7;0;0;0
54;1;0;940;0
54;2;84;0;0
54;3;120;0;0
54;4;91;0;0
54;5;0;0;0
54;6;83;0;0
54;7;0;0;0
55;1;0;940;0
55;2;84;0;0
55;3;132;0;0
55;4;105;0;0
55;5;0;0;0
55;6;0;0;0
55;7;0;0;0
56;1;0;940;0
56;2;167;0;0
56;3;144;0;0
56;4;116;0;0
56;5;0;0;0
56;6;0;0;0
56;7;0;0;0
57;1;0;940;0
57;2;12;0;0
57;3;156;0;0
57;4;127;0;0
57;5;0;0;0
57;6;0;0;0
57;7;0;0;0
58;1;0;1095;0
58;2;12;0;0
58;3;95;0;0
58;4;138;0;0
58;5;73;0;0
58;6;0;0;0
58;7;0;0;0
59;1;0;1095;0
59;2;12;0;0
59;3;107;0;0
59;4;149;0;0
59;5;73;0;0
59;6;0;0;0
59;7;0;0;0
60;1;0;1095;0
60;2;12;0;0
60;3;119;0;0
60;4;80;0;0
60;5;0;0;0
60;6;81;0;0
60;7;0;0;0
61;1;0;1095;0
61;2;85;0;0
61;3;131;0;0
61;4;93;0;0
61;5;0;0;0
61;6;81;0;0
61;7;0;0;0
62;1;0;1095;0
62;2;85;0;0
62;3;143;0;0
62;4;105;0;0
62;5;0;0;0
62;6;0;0;0
62;7;0;0;0
63;1;0;1095;0
63;2;166;0;0
63;3;155;0;0
63;4;116;0;0
63;5;0;0;0
63;6;0;0;0
63;7;0;0;0
64;1;0;1095;0
64;2;12;0;0
64;3;167;0;0
64;4;130;0;0
64;5;0;0;0
64;6;0;0;0
64;7;0;0;0
65;1;0;1249;0
65;2;12;0;0
65;3;106;0;0
65;4;143;0;0
65;5;73;0;0
65;6;0;0;0
65;7;0;0;0
66;1;0;1249;0
66;2;12;0;0
66;3;118;0;0
66;4;155;0;0
66;5;73;0;0
66;6;0;0;0
66;7;0;0;0
67;1;0;1249;0
67;2;12;0;0
67;3;130;0;0
67;4;85;0;0
67;5;0;0;0
67;6;80;0;0
67;7;0;0;0
68;1;0;1249;0
68;2;85;0;0
68;3;142;0;0
68;4;97;0;0
68;5;0;0;0
68;6;80;0;0
68;7;0;0;0
69;1;0;1249;0
69;2;85;0;0
69;3;154;0;0
69;4;108;0;0
69;5;0;0;0
69;6;0;0;0
69;7;0;0;0
70;1;0;1249;0
70;2;165;0;0
70;3;166;0;0
70;4;120;0;0
70;5;0;0;0
70;6;0;0;0
70;7;0;0;0
71;1;0;1249;0
71;2;12;0;0
71;3;178;0;0
71;4;132;0;0
71;5;0;0;0
71;6;0;0;0
71;7;0;0;0
72;1;0;1402;0
72;2;12;0;0
72;3;106;0;0
72;4;143;0;0
72;5;84;0;0
72;6;0;0;0
72;7;0;0;0
73;1;0;1402;0
73;2;12;0;0
73;3;118;0;0
73;4;152;0;0
73;5;84;0;0
73;6;0;0;0
73;7;0;0;0
74;1;0;1402;0
74;2;12;0;0
74;3;130;0;0
74;4;82;0;0
74;5;0;0;0
74;6;81;0;0
74;7;0;0;0
75;1;0;1402;0
75;2;96;0;0
75;3;142;0;0
75;4;95;0;0
75;5;0;0;0
75;6;81;0;0
75;7;0;0;0
76;1;0;1402;0
76;2;96;0;0
76;3;154;0;0
76;4;106;0;0
76;5;0;0;0
76;6;0;0;0
76;7;0;0;0
77;1;0;1402;0
77;2;177;0;0
77;3;166;0;0
77;4;120;0;0
77;5;0;0;0
77;6;0;0;0
77;7;0;0;0
78;1;0;1402;0
78;2;24;0;0
78;3;178;0;0
78;4;131;0;0
78;5;0;0;0
78;6;0;0;0
78;7;0;0;0
79;1;0;1555;0
79;2;24;0;0
79;3;108;0;0
79;4;142;0;0
79;5;82;0;0
79;6;0;0;0
79;7;0;0;0
80;1;0;1555;0
80;2;24;0;0
80;3;120;0;0
80;4;153;0;0
80;5;82;0;0
80;6;0;0;0
80;7;0;0;0
81;1;0;1555;0
81;2;24;0;0
81;3;132;0;0
81;4;83;0;0
81;5;0;0;0
81;6;82;0;0
81;7;0;0;0
82;1;0;1555;0
82;2;106;0;0
82;3;144;0;0
82;4;96;0;0
82;5;0;0;0
82;6;82;0;0
82;7;0;0;0
83;1;0;1555;0
83;2;106;0;0
83;3;156;0;0
83;4;109;0;0
83;5;0;0;0
83;6;0;0;0
83;7;0;0;0
84;1;0;1555;0
84;2;188;0;0
84;3;168;0;0
84;4;120;0;0
84;5;0;0;0
84;6;0;0;0
84;7;0;0;0
85;1;0;1555;0
85;2;24;0;0
85;3;180;0;0
85;4;130;0;0
85;5;0;0;0
85;6;0;0;0
85;7;0;0;0
86;1;0;1719;0
86;2;24;0;0
86;3;109;0;0
86;4;141;0;0
86;5;83;0;0
86;6;0;0;0
86;7;0;0;0
87;1;0;1719;0
87;2;24;0;0
87;3;121;0;0
87;4;151;0;0
87;5;83;0;0
87;6;0;0;0
87;7;0;0;0
88;1;0;1719;0
88;2;24;0;0
88;3;133;0;0
88;4;79;0;0
88;5;0;0;0
88;6;83;0;0
88;7;0;0;0
89;1;0;1719;0
89;2;107;0;0
89;3;145;0;0
89;4;91;0;0
89;5;0;0;0
89;6;83;0;0
89;7;0;0;0
90;1;0;1719;0
90;2;107;0;0
90;3;157;0;0
90;4;104;0;0
90;5;0;0;0
90;6;0;0;0
90;7;0;0;0
91;1;0;1719;0
91;2;190;0;0
91;3;169;0;0
91;4;114;0;0
91;5;0;0;0
91;6;0;0;0
91;7;0;0;0
92;1;0;1719;0
92;2;24;0;0
92;3;181;0;0
92;4;127;0;0
92;5;0;0;0
92;6;0;0;0
92;7;0;0;0
93;1;0;1885;0
93;2;24;0;0
93;3;120;0;0
93;4;137;0;0
93;5;73;0;0
93;6;0;0;0
93;7;0;0;0
94;1;0;1885;0
94;2;24;0;0
94;3;132;0;0
94;4;148;0;0
94;5;73;0;0
94;6;0;0;0
94;7;0;0;0
95;1;0;1885;0
95;2;24;0;0
95;3;144;0;0
95;4;80;0;0
95;5;0;0;0
95;6;79;0;0
95;7;0;0;0
96;1;0;1885;0
96;2;97;0;0
96;3;156;0;0
96;4;91;0;0
96;5;0;0;0
96;6;79;0;0
96;7;0;0;0
97;1;0;1885;0
97;2;97;0;0
97;3;168;0;0
97;4;104;0;0
97;5;0;0;0
97;6;0;0;0
97;7;0;0;0
98;1;0;1885;0
98;2;176;0;0
98;3;180;0;0
98;4;114;0;0
98;5;0;0;0
98;6;0;0;0
98;7;0;0;0
99;1;0;1885;0
99;2;24;0;0
99;3;192;0;0
99;4;126;0;0
99;5;0;0;0
99;6;0;0;0
99;7;0;0;0
100;1;0;2037;0
100;2;24;0;0
100;3;131;0;0
100;4;136;0;0
100;5;73;0;0
100;6;0;0;0
100;7;0;0;0
101;1;0;2037;0
101;2;24;0;0
101;3;143;0;0
101;4;147;0;0
101;5;73;0;0
101;6;0;0;0
101;7;0;0;0
102;1;0;2037;0
102;2;24;0;0
102;3;155;0;0
102;4;79;0;0
102;5;0;0;0
102;6;80;0;0
102;7;0;0;0
103;1;0;2037;0
103;2;97;0;0
103;3;167;0;0
103;4;91;0;0
103;5;0;0;0
103;6;80;0;0
103;7;0;0;0
104;1;0;2037;0
104;2;97;0;0
104;3;179;0;0
104;4;103;0;0
104;5;0;0;0
104;6;0;0;0
104;7;0;0;0
105;1;0;2037;0
105;2;177;0;0
105;3;191;0;0
105;4;116;0;0
105;5;0;0;0
105;6;0;0;0
105;7;0;0;0
106;1;0;2037;0
106;2;24;0;0
106;3;203;0;0
106;4;128;0;0
106;5;0;0;0
106;6;0;0;0
106;7;0;0;0
107;1;0;2190;0
107;2;24;0;0
107;3;143;0;0
107;4;138;0;0
107;5;72;0;0
107;6;0;0;0
107;7;0;0;0
108;1;0;2190;0
108;2;24;0;0
108;3;155;0;0
108;4;150;0;0
108;5;72;0;0
108;6;0;0;0
108;7;0;0;0
109;1;0;2190;0
109;2;24;0;0
109;3;167;0;0
109;4;83;0;0
109;5;0;0;0
109;6;79;0;0
109;7;0;0;0
110;1;0;2190;0
110;2;96;0;0
110;3;179;0;0
110;4;97;0;0
110;5;0;0;0
110;6;79;0;0
110;7;0;0;0
111;1;0;2190;0
111;2;96;0;0
111;3;191;0;0
111;4;108;0;0
111;5;0;0;0
111;6;0;0;0
111;7;0;0;0
112;1;0;2190;0
112;2;175;0;0
112;3;203;0;0
112;4;120;0;0
112;5;0;0;0
112;6;0;0;0
112;7;0;0;0
113;1;0;2190;0
113;2;24;0;0
113;3;215;0;0
113;4;131;0;0
113;5;0;0;0
113;6;0;0;0
113;7;0;0;0
114;1;0;2341;0
114;2;24;0;0
114;3;155;0;0
114;4;143;0;0
114;5;72;0;0
114;6;0;0;0
114;7;0;0;0
115;1;0;2341;0
115;2;24;0;0
115;3;167;0;0
115;4;156;0;0
115;5;72;0;0
115;6;0;0;0
115;7;0;0;0
116;1;0;2341;0
116;2;24;0;0
116;3;179;0;0
116;4;87;0;0
116;5;0;0;0
116;6;83;0;0
116;7;0;0;0
117;1;0;2341;0
117;2;96;0;0
117;3;191;0;0
117;4;99;0;0
117;5;0;0;0
117;6;83;0;0
117;7;0;0;0
118;1;0;2341;0
118;2;96;0;0
118;3;203;0;0
118;4;111;0;0
118;5;0;0;0
118;6;0;0;0
118;7;0;0;0
119;1;0;2341;0
119;2;179;0;0
119;3;215;0;0
119;4;122;0;0
119;5;0;0;0
119;6;0;0;0
119;7;0;0;0
120;1;0;2341;0
120;2;24;0;0
120;3;227;0;0
120;4;133;0;0
120;5;0;0;0
120;6;0;0;0
120;7;0;0;0
121;1;0;2496;0
121;2;24;0;0
121;3;167;0;0
121;4;145;0;0
121;5;72;0;0
121;6;0;0;0
121;7;0;0;0
122;1;0;2496;0
122;2;24;0;0
122;3;179;0;0
122;4;157;0;0
122;5;72;0;0
122;6;0;0;0
122;7;0;0;0
123;1;0;2496;0
123;2;24;0;0
123;3;191;0;0
123;4;96;0;0
123;5;0;0;0
123;6;72;0;0
123;7;0;0;0
124;1;0;2496;0
124;2;96;0;0
124;3;203;0;0
124;4;108;0;0
124;5;0;0;0
124;6;72;0;0
124;7;0;0;0
125;1;0;2496;0
125;2;96;0;0
125;3;215;0;0
125;4;119;0;0
125;5;0;0;0
125;6;0;0;0
125;7;0;0;0
126;1;0;2496;0
126;2;168;0;0
126;3;227;0;0
126;4;130;0;0
126;5;0;0;0
126;6;0;0;0
126;7;0;0;0
127;1;0;2496;0
127;2;12;0;0
127;3;239;0;0
127;4;142;0;0
127;5;0;0;0
127;6;0;0;0
127;7;0;0;0
128;1;0;2652;0
128;2;12;0;0
128;3;167;0;0
128;4;155;0;0
128;5;84;0;0
128;6;0;0;0
128;7;0;0;0
129;1;0;2652;0
129;2;12;0;0
129;3;179;0;0
129;4;166;0;0
129;5;84;0;0
129;6;0;0;0
129;7;0;0;0
130;1;0;2652;0
130;2;12;0;0
130;3;191;0;0
130;4;94;0;0
130;5;0;0;0
130;6;84;0;0
130;7;0;0;0
131;1;0;2652;0
131;2;96;0;0
131;3;203;0;0
131;4;105;0;0
131;5;0;0;0
131;6;84;0;0
131;7;0;0;0
132;1;0;2652;0
132;2;96;0;0
132;3;215;0;0
132;4;116;0;0
132;5;0;0;0
132;6;0;0;0
132;7;0;0;0
133;1;0;2652;0
133;2;180;0;0
133;3;227;0;0
133;4;128;0;0
133;5;0;0;0
133;6;0;0;0
133;7;0;0;0
134;1;0;2652;0
134;2;24;0;0
134;3;239;0;0
134;4;142;0;0
134;5;0;0;0
134;6;0;0;0
134;7;0;0;0
135;1;0;2808;0
135;2;24;0;0
135;3;168;0;0
135;4;155;0;0
135;5;83;0;0
135;6;0;0;0
135;7;0;0;0
136;1;0;2808;0
136;2;24;0;0
136;3;180;0;0
136;4;167;0;0
136;5;83;0;0
136;6;0;0;0
136;7;0;0;0
137;1;0;2808;0
137;2;24;0;0
137;3;192;0;0
137;4;97;0;0
137;5;0;0;0
137;6;82;0;0
137;7;0;0;0
138;1;0;2808;0
138;2;107;0;0
138;3;204;0;0
138;4;109;0;0
138;5;0;0;0
138;6;82;0;0
138;7;0;0;0
139;1;0;2808;0
139;2;107;0;0
139;3;216;0;0
139;4;120;0;0
139;5;0;0;0
139;6;0;0;0
139;7;0;0;0
140;1;0;2808;0
140;2;189;0;0
140;3;228;0;0
140;4;131;0;0
140;5;0;0;0
140;6;0;0;0
140;7;0;0;0
141;1;0;2808;0
141;2;24;0;0
141;3;240;0;0
141;4;142;0;0
141;5;0;0;0
141;6;0;0;0
141;7;0;0;0
142;1;0;2973;0
142;2;24;0;0
142;3;168;0;0
142;4;154;0;0
142;5;84;0;0
142;6;0;0;0
142;7;0;0;0
143;1;0;2973;0
143;2;24;0;0
143;3;180;0;0
143;4;166;0;0
143;5;84;0;0
143;6;0;0;0
143;7;0;0;0
144;1;0;2973;0
144;2;24;0;0
144;3;192;0;0
144;4;95;0;0
144;5;0;0;0
144;6;83;0;0
144;7;0;0;0
145;1;0;2973;0
145;2;108;0;0
145;3;204;0;0
145;4;107;0;0
145;5;0;0;0
145;6;83;0;0
145;7;0;0;0
146;1;0;2973;0
146;2;108;0;0
146;3;216;0;0
146;4;118;0;0
146;5;0;0;0
146;6;0;0;0
146;7;0;0;0
147;1;0;2973;0
147;2;191;0;0
147;3;228;0;0
147;4;131;0;0
147;5;0;0;0
147;6;0;0;0
147;7;0;0;0
148;1;0;2973;0
148;2;36;0;0
148;3;240;0;0
148;4;143;0;0
148;5;0;0;0
148;6;0;0;0
148;7;0;0;0
149;1;0;3128;0
149;2;36;0;0
149;3;180;0;0
149;4;156;0;0
149;5;72;0;0
149;6;0;0;0
149;7;0;0;0
150;1;0;3128;0
150;2;36;0;0
150;3;192;0;0
150;4;167;0;0
150;5;72;0;0
150;6;0;0;0
150;7;0;0;0
151;1;0;3128;0
151;2;36;0;0
151;3;204;0;0
151;4;97;0;0
151;5;0;0;0
151;6;82;0;0
151;7;0;0;0
152;1;0;3128;0
152;2;108;0;0
152;3;216;0;0
152;4;107;0;0
152;5;0;0;0
152;6;82;0;0
152;7;0;0;0
